Cu,Fe,Cr,Al,Si,Pb,Sn,Ni,Na,B,P,Zn,Mo,Ca,Mg,TBN,V100,V40,OXI,TAN,delta_visc_40,metal_sum,iron_to_copper_ratio,water_flag,antifreeze_flag,label
2,8,0,0,3,18,1,0,9,2,62,67,2,332,4,0.32,13.13,140.4,8,0.11,-9.599999999999994,29,4.0,0,0,oil_change_needed
9,8,0,3,1,24,0,0,0,1,39,82,1,415,4,1.5,13.64,162.8,6,0.09,12.800000000000011,44,0.89,0,0,oil_change_needed
3,11,0,0,3,14,1,0,4,3,54,23,1,130,1,2.52,14.26,153.7,5,0.15,3.6999999999999886,29,3.67,0,0,oil_change_needed
3,9,0,1,0,17,3,0,10,2,32,23,1,288,1,1.11,15.36,150.3,2,0.18,0.3000000000000113,33,3.0,0,0,oil_change_needed
4,11,0,0,1,25,2,0,4,2,40,54,1,244,2,1.25,16.2,140.1,11,0.17,-9.900000000000006,42,2.75,0,0,normal
3,10,0,0,3,17,2,0,10,4,38,93,0,120,2,1.17,12.71,153.5,6,0.08,3.5,32,3.33,1,0,water_contamination
5,5,0,0,2,19,1,0,12,3,47,57,0,145,2,0.86,14.73,152.7,9,0.07,2.6999999999999886,30,1.0,0,0,oil_change_needed
3,5,0,1,1,18,3,0,11,2,48,77,1,406,1,1.42,16.83,156.0,1,0.07,6.0,30,1.67,0,0,normal
9,11,0,0,1,14,4,0,14,5,44,54,3,430,2,2.17,13.86,135.3,4,0.1,-14.699999999999989,38,1.22,0,0,normal
4,8,1,1,2,24,1,0,13,2,38,68,0,390,5,3.67,14.26,143.1,12,0.06,-6.900000000000006,39,2.0,1,0,water_contamination
6,10,1,1,1,14,0,0,10,3,38,36,0,103,2,0.55,13.57,170.0,8,0.05,20.0,32,1.67,0,1,sludge_formation
8,11,0,1,3,16,4,0,6,2,50,47,0,108,1,1.5,16.3,146.6,4,0.09,-3.4000000000000057,40,1.38,0,0,normal
4,13,0,0,5,15,2,0,15,6,59,46,0,246,1,2.71,15.19,156.5,11,0.16,6.5,34,3.25,0,0,normal
2,10,0,0,3,24,0,0,18,3,41,77,1,133,1,2.94,15.99,159.5,2,0.11,9.5,36,5.0,0,0,normal
1,9,1,1,3,20,1,0,5,3,63,68,1,376,3,2.36,14.2,147.6,14,-0.01,-2.4000000000000057,33,9.0,0,0,normal
3,12,1,2,3,13,0,0,10,2,63,36,1,119,3,0.66,15.85,138.5,8,0.14,-11.5,31,4.0,0,0,oil_change_needed
7,10,1,0,5,16,2,0,4,2,38,62,1,458,2,1.98,15.11,156.6,10,0.11,6.599999999999994,36,1.43,0,0,normal
5,9,0,3,3,15,2,0,19,2,36,85,1,117,1,2.67,12.86,163.9,2,0.12,13.900000000000006,34,1.8,0,1,oil_change_needed
8,12,1,1,4,22,4,0,12,7,47,57,1,329,2,1.15,14.8,148.8,7,0.12,-1.1999999999999886,48,1.5,1,0,water_contamination
7,10,0,1,1,16,2,0,13,9,65,74,0,426,4,2.56,13.79,147.0,8,0.18,-3.0,36,1.43,0,0,normal
4,6,0,1,2,20,2,0,1,1,51,74,1,217,2,3.41,13.37,153.5,1,0.08,3.5,33,1.5,0,0,normal
4,15,0,0,3,23,1,1,18,6,45,33,1,401,1,1.79,14.48,137.3,6,0.07,-12.699999999999989,43,3.75,1,0,water_contamination
5,10,1,0,0,13,1,0,10,4,55,66,2,207,3,2.42,12.52,145.3,7,0.04,-4.699999999999989,30,2.0,1,0,water_contamination
9,11,0,2,2,21,1,0,14,1,36,96,1,482,4,0.0,13.99,168.9,4,0.09,18.90000000000001,44,1.22,0,1,sludge_formation
2,7,0,1,1,17,1,1,6,7,65,16,1,309,5,0.64,12.88,161.4,3,0.13,11.400000000000006,28,3.5,0,0,oil_change_needed
6,8,0,1,2,13,1,1,15,2,46,78,1,374,1,1.88,16.43,150.2,11,0.19,0.1999999999999886,29,1.33,0,0,oil_change_needed
3,10,0,0,3,20,4,1,5,8,48,28,0,166,2,3.79,13.61,153.0,2,0.06,3.0,37,3.33,0,0,oil_change_needed
3,12,0,2,0,15,0,0,17,2,60,18,0,288,2,2.78,11.84,152.7,0,0.14,2.6999999999999886,32,4.0,0,0,oil_change_needed
5,5,0,1,2,24,2,0,0,4,56,48,0,284,3,2.69,13.49,167.5,3,0.11,17.5,37,1.0,0,0,oil_change_needed
2,9,0,1,2,21,3,1,9,3,46,15,0,109,1,1.08,15.8,159.3,3,0.15,9.300000000000011,36,4.5,0,0,oil_change_needed
4,9,0,1,3,19,3,1,18,4,51,93,0,379,0,1.83,13.62,153.8,13,0.17,3.8000000000000114,36,2.25,0,0,normal
5,10,0,2,2,23,3,0,18,3,33,11,1,107,1,0.46,12.66,143.9,12,0.13,-6.099999999999994,43,2.0,0,0,oil_change_needed
2,13,0,0,2,12,3,0,6,5,47,90,2,103,1,1.49,14.48,158.8,8,0.07,8.800000000000011,30,6.5,0,0,normal
6,8,1,2,0,23,0,0,13,3,38,83,0,434,2,2.61,12.57,170.3,6,0.08,20.30000000000001,40,1.33,0,0,oil_change_needed
2,15,0,1,2,29,1,0,12,4,42,97,0,285,3,1.85,12.38,169.4,4,0.07,19.40000000000001,48,7.5,0,0,oil_change_needed
5,9,0,1,2,23,6,0,17,5,49,15,1,149,2,1.89,11.77,155.5,12,0.09,5.5,44,1.8,0,0,oil_change_needed
3,5,0,2,4,19,3,0,7,1,35,58,2,315,3,3.33,15.62,156.4,0,0.16,6.400000000000006,32,1.67,0,0,normal
2,7,0,1,2,14,2,1,15,2,67,44,2,263,6,2.61,15.44,156.5,13,0.1,6.5,26,3.5,0,0,normal
5,11,1,2,1,25,2,0,9,1,62,79,1,496,3,1.69,14.23,145.3,9,0.1,-4.699999999999989,46,2.2,0,0,normal
7,11,1,3,4,16,3,0,11,4,62,90,0,251,3,2.35,14.53,155.1,3,0.11,5.099999999999994,41,1.57,0,0,normal
6,9,0,2,3,16,2,0,1,3,60,95,1,271,1,1.8,11.49,154.5,11,0.12,4.5,35,1.5,0,0,normal
6,5,0,0,3,21,2,0,11,6,56,24,0,467,1,1.7,14.46,140.7,9,0.14,-9.300000000000011,34,0.83,0,0,oil_change_needed
5,8,0,2,1,29,0,0,15,7,53,70,1,431,2,2.15,14.07,142.0,11,0.09,-8.0,44,1.6,0,0,normal
8,5,0,0,2,20,2,0,2,6,60,60,0,467,5,3.39,12.83,164.8,9,0.09,14.800000000000011,35,0.62,0,1,oil_change_needed
5,5,1,0,3,15,1,0,7,5,50,64,1,418,6,0.29,13.86,160.9,2,0.1,10.900000000000006,27,1.0,0,0,oil_change_needed
5,8,0,0,0,20,2,0,15,4,47,11,2,353,1,3.91,16.49,155.8,9,0.06,5.800000000000011,35,1.6,0,0,oil_change_needed
8,7,0,4,1,14,2,1,15,1,61,81,0,355,2,3.25,14.61,159.6,0,0.14,9.599999999999994,35,0.88,0,0,normal
4,10,0,1,1,16,1,0,5,3,40,19,5,462,2,3.65,11.5,133.9,0,0.04,-16.099999999999994,32,2.5,0,0,oil_change_needed
5,8,0,2,1,19,2,1,3,0,45,97,1,358,2,3.31,12.75,152.5,11,0.07,2.5,36,1.6,0,0,normal
13,11,0,1,2,14,1,0,8,4,59,29,1,148,1,1.33,11.97,168.9,7,0.08,18.90000000000001,40,0.85,0,0,sludge_formation
5,8,0,0,4,18,1,0,0,3,30,89,1,158,3,2.28,14.48,147.1,6,0.14,-2.9000000000000057,32,1.6,0,0,normal
7,10,0,0,2,17,4,0,15,2,30,45,1,102,1,2.46,13.39,151.6,7,0.09,1.5999999999999943,38,1.43,0,0,normal
4,11,1,3,2,25,0,0,13,1,38,70,1,469,1,1.87,14.33,144.7,6,0.06,-5.300000000000011,44,2.75,0,0,normal
2,7,0,1,1,31,1,0,17,4,66,41,0,429,1,2.79,15.34,153.9,5,0.18,3.9000000000000057,42,3.5,0,0,machine_depreciation
4,8,1,0,1,15,1,0,6,5,57,64,0,149,1,1.69,13.5,124.8,3,0.06,-25.200000000000003,29,2.0,0,0,normal
4,10,1,1,0,31,1,0,17,3,58,51,0,253,4,2.18,14.38,153.1,1,0.04,3.0999999999999943,48,2.5,0,0,machine_depreciation
6,5,0,0,0,25,2,1,2,3,42,90,1,324,4,1.13,14.16,148.3,6,0.11,-1.6999999999999886,38,0.83,0,0,normal
5,9,0,4,2,20,0,0,0,4,46,63,1,407,1,3.54,13.51,153.2,13,0.09,3.1999999999999886,38,1.8,0,0,normal
8,13,0,2,2,26,1,0,13,3,57,57,4,148,4,0.73,12.9,164.7,6,0.08,14.699999999999989,50,1.62,0,0,oil_change_needed
5,15,1,2,0,27,4,0,6,1,44,86,0,405,1,1.34,12.07,154.1,5,0.12,4.099999999999994,54,3.0,1,0,water_contamination
6,8,0,2,1,27,1,1,17,5,41,62,1,493,3,2.02,14.06,161.1,13,0.11,11.099999999999994,44,1.33,0,0,normal
5,6,0,1,0,14,1,0,16,3,39,25,0,145,2,3.45,18.11,187.1,12,0.12,37.1,27,1.2,0,0,oil_change_needed
4,10,0,0,3,21,4,0,2,3,47,95,1,463,1,-0.56,14.1,159.5,9,0.05,9.5,39,2.5,0,0,oil_change_needed
4,8,0,1,2,25,8,0,4,0,30,79,0,347,4,1.22,13.3,146.6,9,0.14,-3.4000000000000057,46,2.0,0,0,normal
5,13,0,0,2,22,0,0,17,2,58,77,1,155,0,1.98,13.23,155.1,9,0.17,5.099999999999994,40,2.6,0,1,normal
4,9,0,1,1,40,3,0,13,3,36,81,2,394,2,2.76,12.01,151.1,13,0.08,1.0999999999999943,57,2.25,0,0,machine_depreciation
2,7,0,0,2,23,1,0,13,4,35,83,0,162,4,1.67,15.25,142.7,10,0.11,-7.300000000000011,33,3.5,0,0,normal
4,12,1,1,4,22,1,0,10,5,32,57,3,278,3,3.2,14.51,158.0,5,0.1,8.0,41,3.0,0,0,normal
4,10,0,1,1,20,1,0,9,1,41,25,1,349,2,1.32,14.7,160.0,7,0.12,10.0,36,2.5,0,0,oil_change_needed
6,10,1,0,4,21,1,0,7,8,36,35,1,471,1,1.0,15.35,165.3,12,0.04,15.300000000000011,39,1.67,0,0,sludge_formation
9,7,0,2,2,16,4,1,15,3,37,61,0,206,0,1.75,17.28,161.8,1,0.11,11.800000000000011,38,0.78,0,0,normal
6,6,0,1,2,16,1,1,18,2,36,14,0,494,3,2.69,16.13,138.6,8,0.09,-11.400000000000006,30,1.0,0,0,oil_change_needed
6,10,0,2,4,21,2,0,11,3,45,66,3,143,2,2.34,14.94,155.0,6,0.13,5.0,41,1.67,0,0,normal
5,7,0,1,2,26,2,1,3,4,45,72,0,217,0,1.92,15.03,159.6,10,0.03,9.599999999999994,41,1.4,0,0,normal
2,7,1,1,0,21,1,1,13,4,35,13,0,364,2,2.09,14.3,156.9,6,0.12,6.900000000000006,33,3.5,0,0,oil_change_needed
7,11,1,0,4,25,1,0,3,0,57,84,0,493,4,2.09,15.16,150.7,0,0.01,0.6999999999999886,45,1.57,0,0,normal
7,8,1,0,5,20,2,0,6,3,33,30,0,496,4,1.43,14.66,152.7,8,0.19,2.6999999999999886,38,1.14,0,0,oil_change_needed
8,9,0,0,3,17,3,0,10,1,63,24,0,278,3,1.29,15.24,155.7,6,0.03,5.699999999999989,37,1.12,0,0,oil_change_needed
6,7,0,1,1,22,2,1,7,1,59,27,0,200,2,2.23,13.11,150.9,14,0.11,0.9000000000000057,38,1.17,0,0,oil_change_needed
7,6,0,0,1,20,2,0,11,2,67,26,1,174,1,0.18,13.38,157.2,5,0.07,7.199999999999989,35,0.86,0,0,oil_change_needed
2,14,0,3,2,14,3,0,13,3,31,68,1,165,2,2.34,16.42,149.1,5,0.11,-0.9000000000000057,36,7.0,0,0,normal
5,13,1,0,3,20,1,0,15,6,60,99,1,269,2,2.38,16.17,165.4,8,0.07,15.400000000000006,40,2.6,0,0,oil_change_needed
3,12,0,1,1,14,1,0,4,6,30,73,1,251,4,3.08,14.54,161.8,7,0.13,11.800000000000011,31,4.0,0,0,normal
4,8,0,0,4,25,0,0,3,3,31,48,0,233,4,1.17,16.1,143.4,6,0.08,-6.599999999999994,37,2.0,0,0,normal
2,13,1,3,0,35,3,0,5,2,37,50,1,336,3,1.23,12.8,167.6,0,0.07,17.599999999999994,57,6.5,1,0,machine_depreciation
7,12,0,2,2,13,3,1,18,2,38,97,1,171,3,1.7,15.88,164.3,9,0.05,14.300000000000011,37,1.71,0,0,oil_change_needed
6,12,0,1,1,19,4,0,18,4,56,91,0,386,0,1.08,16.58,143.9,5,0.15,-6.099999999999994,42,2.0,0,0,normal
6,13,0,0,2,23,2,0,11,4,52,47,1,171,4,0.72,13.9,151.4,4,0.13,1.4000000000000057,44,2.17,1,0,water_contamination
5,9,0,1,0,19,3,0,19,1,63,24,0,259,0,1.81,16.71,130.4,8,0.11,-19.599999999999994,37,1.8,0,0,oil_change_needed
6,9,1,0,1,14,0,0,17,1,63,50,0,221,1,2.9,18.34,148.6,13,0.16,-1.4000000000000057,30,1.5,0,0,normal
4,7,0,2,2,13,3,0,18,3,31,23,1,394,0,0.05,15.05,162.8,7,0.05,12.800000000000011,29,1.75,0,0,oil_change_needed
6,7,1,1,2,23,1,0,0,1,39,23,0,457,0,2.9,16.78,158.9,7,0.22,8.900000000000006,39,1.17,0,0,sludge_formation
2,10,0,0,2,21,1,0,10,3,40,11,1,380,1,5.29,12.99,168.7,6,0.01,18.69999999999999,34,5.0,0,0,oil_change_needed
8,9,0,1,3,22,3,0,6,2,50,88,0,350,0,1.16,10.93,162.2,14,0.11,12.199999999999989,43,1.12,0,0,oil_change_needed
1,10,0,1,4,18,3,0,3,4,43,15,2,173,1,2.31,17.95,163.2,10,0.01,13.199999999999989,33,10.0,0,0,oil_change_needed
6,11,0,1,3,18,4,1,6,5,47,98,3,222,3,2.09,11.87,156.4,9,0.11,6.400000000000006,40,1.83,0,0,normal
3,5,0,1,2,20,1,1,2,4,63,74,0,254,4,1.88,15.69,157.6,1,0.01,7.599999999999994,30,1.67,0,0,normal
6,13,0,0,5,20,2,1,8,2,68,87,3,105,4,2.99,17.18,176.9,6,0.1,26.90000000000001,41,2.17,0,0,oil_change_needed
5,15,1,2,2,16,2,1,13,4,52,92,0,149,2,2.4,13.45,162.5,13,0.08,12.5,41,3.0,0,0,oil_change_needed
7,12,1,0,2,17,0,0,7,3,43,61,0,325,5,3.94,15.82,146.6,7,0.06,-3.4000000000000057,37,1.71,0,0,normal
4,11,0,0,1,17,3,1,8,3,38,51,1,234,2,3.33,13.7,153.9,6,0.16,3.9000000000000057,35,2.75,0,0,normal
2,12,0,3,1,20,3,0,2,4,62,81,2,315,0,0.78,14.68,137.4,2,0.04,-12.599999999999994,40,6.0,0,0,oil_change_needed
6,12,0,3,2,16,2,0,11,3,43,74,1,263,1,1.73,16.31,130.8,3,0.15,-19.19999999999999,39,2.0,0,0,normal
5,10,0,0,2,23,2,0,5,4,44,68,1,482,2,2.32,14.22,150.3,3,0.09,0.3000000000000113,40,2.0,0,0,normal
7,11,0,1,0,19,3,0,18,2,64,26,1,316,0,2.36,14.85,172.0,8,0.03,22.0,41,1.57,0,0,oil_change_needed
5,11,1,4,1,20,3,0,0,4,37,78,1,117,5,3.92,15.67,151.1,8,0.06,1.0999999999999943,44,2.2,0,0,normal
10,13,0,0,4,20,3,0,17,4,66,36,1,195,2,1.0,16.56,146.3,11,0.13,-3.6999999999999886,46,1.3,0,0,normal
4,15,1,1,2,17,0,0,7,4,33,24,0,267,0,1.64,13.37,177.7,2,0.22,27.69999999999999,38,3.75,0,0,sludge_formation
1,6,0,1,2,22,0,0,5,4,68,65,0,248,1,1.81,16.18,165.1,2,0.14,15.099999999999994,30,6.0,0,0,oil_change_needed
5,10,0,2,1,23,2,1,2,2,52,43,1,407,3,3.94,11.91,146.5,5,0.03,-3.5,42,2.0,0,0,normal
6,11,1,1,4,25,0,0,3,4,31,70,2,284,0,1.04,14.41,157.4,10,0.04,7.400000000000006,44,1.83,0,0,normal
4,12,0,1,6,19,1,0,9,4,34,68,1,410,2,1.91,16.8,154.8,7,0.15,4.800000000000011,37,3.0,0,0,normal
3,6,0,0,0,17,1,0,0,2,59,82,1,478,0,2.09,16.81,150.6,8,0.07,0.5999999999999943,27,2.0,0,0,normal
3,15,0,4,3,20,2,0,11,7,56,91,1,325,4,1.73,13.98,170.0,2,0.1,20.0,44,5.0,0,0,oil_change_needed
7,13,0,0,1,20,5,0,1,1,33,81,3,495,1,1.85,16.0,157.3,2,0.14,7.300000000000011,45,1.86,0,0,normal
2,5,0,3,1,24,4,0,12,2,44,51,0,381,1,1.87,15.97,157.5,1,0.07,7.5,38,2.5,0,0,normal
6,11,0,0,0,17,1,0,10,3,46,79,0,478,2,1.79,14.28,145.1,7,0.11,-4.900000000000006,35,1.83,1,0,water_contamination
9,7,1,1,4,18,3,0,0,4,62,95,3,323,2,2.05,15.2,154.7,9,0.1,4.699999999999989,39,0.78,0,0,normal
7,9,0,1,4,20,1,1,6,1,38,78,1,452,2,1.77,13.78,145.8,8,0.14,-4.199999999999989,38,1.29,0,0,normal
1,14,0,0,1,27,1,0,0,2,30,68,2,109,1,2.12,12.57,148.1,3,0.1,-1.9000000000000057,43,14.0,0,0,normal
5,13,1,1,1,18,0,0,19,2,46,86,0,351,5,2.17,12.65,137.9,14,0.19,-12.099999999999994,38,2.6,0,0,oil_change_needed
4,6,0,2,2,16,1,0,19,6,67,23,2,362,1,0.3,12.63,170.1,13,0.11,20.099999999999994,29,1.5,0,0,sludge_formation
6,11,0,1,3,20,2,0,17,4,59,98,2,372,2,2.74,13.32,150.2,11,0.1,0.1999999999999886,40,1.83,0,0,normal
6,11,0,0,4,26,0,0,1,1,37,42,1,466,3,1.52,14.84,150.3,6,0.18,0.3000000000000113,43,1.83,0,0,normal
5,9,0,1,3,22,2,1,8,2,57,93,3,335,0,-0.25,14.15,169.8,6,0.09,19.80000000000001,39,1.8,0,0,sludge_formation
3,14,0,1,3,18,0,0,14,2,51,14,0,226,1,1.04,15.59,167.2,5,0.23,17.19999999999999,36,4.67,0,0,sludge_formation
6,10,0,1,0,24,2,1,1,0,41,21,1,184,3,1.93,14.88,138.8,5,0.08,-11.199999999999989,43,1.67,0,0,oil_change_needed
6,7,0,0,1,23,0,0,6,3,61,90,1,481,1,1.68,15.79,151.6,13,0.13,1.5999999999999943,36,1.17,0,0,normal
8,9,0,0,3,20,1,0,9,8,55,45,0,481,1,4.23,15.33,165.5,11,0.06,15.5,38,1.12,0,0,oil_change_needed
6,15,0,1,1,21,1,0,0,4,50,15,0,178,3,2.54,15.12,144.4,2,0.16,-5.599999999999994,44,2.5,0,0,oil_change_needed
7,11,1,0,4,23,1,0,16,4,68,75,1,126,1,0.51,13.32,154.6,12,0.1,4.599999999999994,43,1.57,0,0,oil_change_needed
0,8,1,2,1,23,0,0,16,2,31,41,2,478,3,1.29,15.53,160.0,13,0.2,10.0,34,0.0,0,0,oil_change_needed
4,14,1,1,4,16,1,0,16,5,48,60,1,339,3,1.06,12.6,172.0,1,0.09,22.0,37,3.5,0,0,sludge_formation
8,6,0,0,2,23,3,0,15,3,63,13,0,250,2,2.28,16.18,151.6,0,0.1,1.5999999999999943,40,0.75,0,0,oil_change_needed
3,8,0,0,2,23,0,0,1,2,55,67,1,412,1,1.74,13.57,149.4,3,0.04,-0.5999999999999943,34,2.67,0,0,normal
7,8,0,1,2,24,2,0,19,4,31,47,0,403,2,2.36,15.39,161.2,7,0.1,11.199999999999989,42,1.14,0,0,normal
8,9,1,0,2,14,5,0,19,3,42,97,0,159,3,1.2,12.52,164.0,13,0.11,14.0,37,1.12,0,0,oil_change_needed
9,9,0,0,5,21,2,0,1,2,36,41,1,292,2,3.79,15.37,144.6,4,0.1,-5.400000000000006,41,1.0,0,0,normal
3,8,0,2,0,18,0,0,60,4,58,96,1,166,2,1.69,13.29,137.2,5,0.11,-12.800000000000011,31,2.67,0,0,water_contamination
4,11,1,0,2,29,1,0,5,6,60,58,0,487,4,0.49,12.74,149.2,10,0.07,-0.8000000000000114,46,2.75,0,0,oil_change_needed
6,13,1,0,1,21,4,0,14,2,32,61,1,187,4,3.44,12.41,153.6,5,0.0,3.5999999999999943,45,2.17,0,1,normal
3,7,0,1,0,17,4,0,18,1,58,27,1,314,1,3.54,13.88,169.5,7,0.04,19.5,32,2.33,1,0,water_contamination
0,7,0,0,5,19,2,0,10,4,64,45,0,207,3,2.78,14.32,162.3,4,0.05,12.300000000000011,28,0.0,0,0,oil_change_needed
5,15,1,1,2,12,3,0,0,1,41,39,0,175,1,2.33,15.63,160.9,0,-0.03,10.900000000000006,37,3.0,0,0,normal
4,12,0,0,2,20,3,0,16,3,50,96,2,106,1,1.6,12.1,150.8,3,0.03,0.8000000000000114,39,3.0,0,0,normal
9,10,0,1,0,27,1,1,8,6,57,66,1,281,1,-0.01,14.12,148.0,6,0.07,-2.0,48,1.11,0,0,oil_change_needed
14,10,0,1,1,24,0,0,19,5,57,48,1,311,2,1.04,17.1,147.3,11,0.05,-2.6999999999999886,49,0.71,0,0,normal
3,12,0,2,0,18,1,1,7,4,33,70,1,317,1,2.13,15.17,160.8,9,0.19,10.800000000000011,36,4.0,0,0,oil_change_needed
1,5,0,2,1,14,3,1,9,3,53,76,0,245,2,1.66,14.66,161.8,11,0.1,11.800000000000011,25,5.0,0,0,normal
5,18,0,0,5,17,2,0,19,1,43,12,3,279,4,1.88,16.53,141.1,4,0.04,-8.900000000000006,42,3.6,0,0,oil_change_needed
4,15,0,3,2,20,3,0,7,4,54,47,0,193,5,2.23,13.64,140.1,1,0.16,-9.900000000000006,45,3.75,0,0,normal
6,9,0,1,2,21,2,0,6,1,50,76,0,294,4,3.2,15.5,147.0,8,0.1,-3.0,39,1.5,0,0,normal
3,14,0,0,4,18,4,0,19,3,32,53,1,270,1,1.77,12.53,145.5,4,0.03,-4.5,39,4.67,0,0,normal
2,15,1,2,5,20,0,1,2,1,68,83,1,141,3,1.2,12.31,149.1,11,0.09,-0.9000000000000057,40,7.5,1,0,water_contamination
2,13,1,0,5,18,5,1,3,3,53,47,1,128,1,2.83,10.21,131.4,14,0.09,-18.599999999999994,39,6.5,0,0,normal
6,11,1,1,6,26,3,1,5,2,35,84,1,219,2,0.92,15.14,146.9,11,0.11,-3.0999999999999943,48,1.83,0,0,dirt_in_oil
3,12,1,1,2,25,1,0,12,2,33,64,4,214,0,3.54,16.17,149.8,9,0.03,-0.1999999999999886,43,4.0,0,0,normal
5,14,0,2,3,18,1,0,6,1,42,77,1,100,1,1.53,16.62,156.8,6,0.07,6.800000000000011,40,2.8,0,0,normal
0,9,0,1,4,14,4,0,13,2,46,27,1,182,2,1.22,13.38,168.2,9,0.09,18.19999999999999,28,0.0,0,0,sludge_formation
6,9,1,1,4,16,4,0,8,2,66,75,0,215,0,1.54,14.44,147.8,13,0.11,-2.1999999999999886,37,1.5,0,0,normal
6,14,1,0,1,20,1,0,60,4,49,42,2,482,3,4.18,15.68,154.8,8,0.03,4.800000000000011,42,2.33,0,0,water_contamination
11,10,0,0,1,23,3,0,5,2,68,88,0,488,0,2.7,15.29,179.5,6,0.06,29.5,47,0.91,0,0,oil_change_needed
4,8,1,0,2,25,2,1,15,2,60,75,1,218,2,3.61,12.74,146.7,9,0.13,-3.300000000000012,40,2.0,0,0,normal
6,4,0,3,1,28,2,0,11,6,34,51,1,325,0,1.87,13.88,160.4,12,0.11,10.400000000000006,43,0.67,1,0,water_contamination
4,12,0,1,0,29,4,0,5,5,52,55,4,186,2,1.16,14.89,155.7,5,0.17,5.699999999999989,50,3.0,0,0,normal
8,14,0,0,1,14,1,1,14,2,52,15,0,484,1,0.06,12.77,165.6,2,0.08,15.599999999999994,37,1.75,0,0,sludge_formation
3,6,0,0,1,20,2,1,18,0,34,53,1,242,5,2.01,14.17,140.7,5,0.13,-9.300000000000011,31,2.0,0,0,normal
1,8,1,2,2,10,1,0,8,3,52,81,1,319,3,2.95,13.21,160.3,11,0.12,10.300000000000011,23,8.0,0,0,normal
4,9,0,1,0,23,2,1,3,3,43,64,0,303,1,3.74,14.9,172.9,9,0.07,22.90000000000001,39,2.25,0,0,oil_change_needed
0,7,0,1,2,29,1,1,0,4,47,64,0,469,2,2.09,12.07,166.8,14,0.13,16.80000000000001,38,0.0,0,1,oil_change_needed
3,10,1,1,1,22,1,1,4,1,37,44,1,480,3,2.01,13.82,168.5,11,0.12,18.5,38,3.33,0,0,oil_change_needed
3,10,0,2,2,18,2,0,16,3,63,66,1,390,2,1.81,13.98,133.2,11,0.06,-16.80000000000001,35,3.33,0,0,normal
4,10,0,0,2,14,2,0,4,4,38,98,1,235,1,1.15,14.89,160.9,8,0.15,10.900000000000006,30,2.5,0,0,normal
4,9,0,1,2,19,4,0,8,2,57,74,1,463,2,0.58,17.1,149.7,2,0.1,-0.3000000000000113,37,2.25,0,0,oil_change_needed
3,7,0,0,1,25,4,0,7,3,50,56,2,398,3,1.11,15.27,142.6,1,0.11,-7.400000000000006,39,2.33,0,0,normal
1,5,0,0,2,10,1,0,12,1,51,87,2,293,1,2.5,12.82,141.9,9,0.04,-8.099999999999994,17,5.0,0,0,normal
3,3,0,1,1,24,4,0,14,3,54,56,0,333,0,2.16,14.59,147.7,6,0.14,-2.300000000000012,35,1.0,0,0,normal
6,8,0,1,1,21,3,0,1,2,32,11,1,362,2,3.1,17.64,161.1,13,0.13,11.099999999999994,39,1.33,0,0,oil_change_needed
5,13,0,1,6,17,1,0,18,6,50,63,1,477,1,1.48,12.86,152.5,12,0.08,2.5,37,2.6,0,0,normal
3,9,0,1,1,24,2,0,2,4,31,60,2,450,0,2.34,13.96,152.5,1,0.18,2.5,39,3.0,0,0,normal
8,8,1,1,2,23,4,1,17,2,47,30,2,187,1,0.96,15.81,168.0,12,0.1,18.0,45,1.0,0,0,sludge_formation
8,9,1,1,4,30,3,1,12,3,64,27,2,274,2,1.74,15.6,152.6,7,0.11,2.5999999999999943,52,1.12,0,0,oil_change_needed
1,12,0,0,0,24,1,1,12,3,43,64,0,204,2,3.67,14.61,145.6,4,0.19,-4.400000000000006,38,12.0,0,0,oil_change_needed
5,13,1,0,2,16,4,1,17,0,56,82,0,357,3,3.77,14.3,161.9,7,0.11,11.900000000000006,39,2.6,0,1,normal
5,6,1,2,5,18,3,0,18,5,62,27,0,281,2,2.51,15.43,159.2,8,0.1,9.199999999999989,35,1.2,0,0,oil_change_needed
3,13,0,1,1,21,1,0,2,0,39,34,0,206,3,3.44,15.05,149.4,10,0.1,-0.5999999999999943,39,4.33,0,0,normal
7,9,0,1,4,16,2,0,12,2,49,94,2,266,2,0.79,13.71,175.8,6,0.06,25.80000000000001,35,1.29,0,0,sludge_formation
8,11,0,3,5,19,2,0,5,2,52,27,3,495,1,0.78,12.11,146.2,13,0.16,-3.8000000000000114,43,1.38,1,0,water_contamination
5,9,0,0,2,24,2,0,16,3,35,13,1,226,0,2.76,13.44,157.7,12,0.12,7.699999999999989,40,1.8,0,0,oil_change_needed
14,10,0,0,0,25,1,0,6,5,66,79,1,447,1,2.0,12.6,163.0,9,0.07,13.0,50,0.71,0,0,oil_change_needed
2,5,0,0,3,20,2,0,2,1,60,10,0,141,1,3.01,14.01,163.8,9,0.1,13.800000000000011,29,2.5,1,0,water_contamination
3,13,0,2,4,19,6,0,0,2,64,58,2,175,2,0.72,15.32,159.6,4,0.11,9.599999999999994,43,4.33,0,1,oil_change_needed
7,6,1,0,3,20,1,0,1,1,46,53,0,338,0,0.97,17.26,154.8,11,0.06,4.800000000000011,35,0.86,0,0,oil_change_needed
5,7,0,1,2,19,3,0,9,2,41,64,1,140,3,2.07,17.35,153.1,6,0.02,3.0999999999999943,35,1.4,0,0,normal
